Rank,Winrate,Average Kills,Average Deaths,Average Assists,Games Played
1,74,4.6,4.1,12.6,96
2,73,4.8,3.2,12.6,63
3,67.8,7,3.9,9.8,171
4,76.5,6.1,3.1,12.5,51
5,70.4,5.1,4.9,13.6,54
6,66.2,4.8,3.6,10.2,74
7,65.5,5.8,3.1,10.9,84
8,64.1,6.5,2.5,10.4,128
9,66.3,5,4.2,10.2,83
10,66.1,5.8,2.9,9.8,56
11,64.9,7.2,4.4,10.5,114
12,64.8,5.2,4.3,12.7,105
13,88.3,11,3.9,10.4,77
14,62.5,5.5,3.2,11.9,56
15,70,6.4,4.1,12.2,80
16,66.4,6.5,3.2,8.8,542
17,63,6.2,2.7,10.5,216
18,65.4,6.3,3.6,10.8,107
19,64.7,5.3,3.6,12.9,201
20,62.8,6.2,4.4,12.9,121
21,62.2,6.4,4.1,11.5,188
22,64.8,5.9,3.4,9.7,253
23,67.6,4.7,3.8,10.7,68
24,66.5,5.8,4.3,13.8,164
25,62.7,5,3.2,12.6,102
26,66,7.8,4,9.5,50
27,66.2,5.4,3.7,12.8,231
28,65.2,6.3,4.6,12.1,161
29,61.5,5.9,3.8,10.5,143
30,62.5,6.5,4.8,11.3,192
31,64.2,5.4,4.1,12.9,165
32,75.2,8.3,3,9.2,105
33,61.1,5.4,3.9,11.6,473
34,62.7,3.9,2.8,7.1,204
35,62.5,5.4,3.7,11.6,514
36,66.7,5.5,4.2,11.6,60
37,68.6,5.3,3.3,11.4,102
38,61.5,6.4,4.9,12.7,205
39,61.3,4.3,2.6,7.7,222
40,61.4,6,3.7,13.3,83
41,60.7,6.3,3.3,11.4,461
42,60.3,6,4.4,12.4,277
43,60.2,6.2,3.7,11.5,226
44,59.6,5,3.4,9.8,146
45,60,6,4.8,11.1,70
46,62.6,4.8,3.6,12.3,163
47,64.6,6.7,3.7,11.5,537
48,64.5,5.7,4.3,12.4,251
49,61.8,6,4.4,12.4,283
50,64.1,5.7,2.9,11.7,167
51,60.2,5.8,6.2,13.4,357
52,59.9,4.5,3.1,7.9,152
53,68.9,6.2,3.6,10.8,61
54,59.7,5.7,4.1,11.1,67
55,61.2,4.6,3.8,11.3,121
56,57.9,7.5,3.2,10.8,202
57,58.2,5.4,3,10.2,488
58,61.9,5.4,3.9,10.5,349
59,64.6,4.7,3.2,11.7,48
60,60.6,6.3,3.1,10.2,71
61,63.9,6.6,5.5,13.1,97
62,58.6,7.6,4.8,13.1,58
63,59.5,4,3.5,7.1,148
64,61.6,5.4,4.6,11.3,146
65,59.7,5.1,3.5,11.5,77
66,61.3,6.8,3.7,9.8,194
67,61.2,4.5,4.4,9.3,456
68,64,7.3,4.9,13.2,114
69,64.4,4.2,3.9,12.1,174
70,66,7.5,5.2,13.4,50
71,59.4,5.2,4.1,12.8,64
72,66,12.1,5.9,10.8,265
73,60.3,4.6,3.7,13.1,408
74,58.1,6.8,4.7,12.5,93
75,60.3,4.4,3.5,10.6,78
76,60.8,5.8,4.4,10.1,525
77,57.8,4.7,3.6,11.8,102
78,59.5,7.4,3.6,11,200
79,64.1,6.2,4.6,12.8,142
80,57.1,5,3.1,10.3,70
81,77.1,10.1,2.8,12.7,157
82,59.2,5.4,4.6,11.4,529
83,60.4,6.2,4.4,11.5,456
84,62.6,7,4.2,10.2,586
85,60.1,6.3,5.2,9.4,178
86,61.1,4.9,3.2,10.3,252
87,69.7,3.9,3.9,11.8,109
88,91.8,16.5,3.7,10.2,85
89,68.3,5.6,3.3,11.4,63
90,59.4,6,4.6,7.5,616
91,57.7,3.8,3.2,7.1,426
92,58.4,6.2,4.5,10.5,113
93,56.7,5.1,3.7,12,298
94,69.4,4.9,3.6,11,62
95,58.5,4.9,3.8,11.2,176
96,61.3,5.8,4.8,12.5,62
97,56.7,6.2,3.6,10.5,358
98,60.6,5.2,5.2,11.2,563
99,56.8,5,3.1,8.8,162
100,64.4,8.3,4.4,13.4,90
